allianceid,cusip1,cusip2,effective,licensing,exlicensing,manufacturing,oem,marketing,rnd,strategic,supply,techtrans,cballiance,jv
263,576879,458140,1990-02-07,0,0,1,0,0,0,1,0,0,0,0
264,51564Q,191900,1990-02-07,0,0,0,0,0,0,1,0,1,0,0
265,670768,16114T,1990-02-07,0,0,0,0,0,0,0,0,0,0,1
266,60851Q,459200,1990-02-08,0,0,0,0,0,0,1,0,0,0,0
267,60851Q,359590,1990-02-08,0,0,0,0,0,0,1,0,0,0,0
268,92861Q,460475,1990-02-09,0,0,0,0,0,0,1,0,0,0,0
269,819491,114814,1990-02-09,0,0,0,0,0,0,1,0,0,0,0
270,85858I,620076,1990-02-09,0,0,1,0,0,0,1,0,0,0,0
271,681062,277461,1990-02-09,0,0,0,0,1,1,0,1,0,0,1
272,68377A,030177,1990-02-12,0,0,0,0,0,0,1,0,1,0,0
272,747236,030177,1990-02-12,0,0,0,0,0,0,1,0,1,0,0
272,747236,68377A,1990-02-12,0,0,0,0,0,0,1,0,1,0,0
273,66987X,030177,1990-02-12,0,0,0,0,1,0,1,0,0,0,0
274,686285,198274,1990-02-12,0,0,0,0,0,0,0,0,0,0,1
275,591392,459200,1990-02-13,0,0,0,0,1,0,1,0,1,0,0
276,48245I,253849,1990-02-13,0,0,0,0,1,0,0,0,0,0,1
277,606776,03017G,1990-02-15,0,0,1,0,0,0,1,0,0,0,0
278,362320,15090Z,1990-02-15,0,0,0,0,0,0,0,1,0,0,1
279,853626,81602J,1990-02-15,0,0,1,0,0,0,1,0,0,0,0
280,86635X,83569Q,1990-02-19,0,0,0,1,1,0,1,1,1,0,0
281,862111,268648,1990-02-20,0,0,0,0,1,0,1,0,0,0,0
282,579468,388686,1990-02-20,0,0,0,0,0,0,0,0,0,0,1
283,62007D,27874N,1990-02-20,0,0,1,0,0,0,1,0,1,0,0
283,89148Z,27874N,1990-02-20,0,0,1,0,0,0,1,0,1,0,0
283,89148Z,62007D,1990-02-20,0,0,1,0,0,0,1,0,1,0,0
284,608554,51373H,1990-02-21,0,0,0,0,1,0,0,0,0,0,1
285,05544I,05259H,1990-02-22,0,0,1,0,0,0,0,1,0,0,1
285,665815,05259H,1990-02-22,0,0,1,0,0,0,0,1,0,0,1
285,665815,05544I,1990-02-22,0,0,1,0,0,0,0,1,0,0,1
286,75938M,47109Y,1990-02-22,0,0,0,0,0,0,0,0,0,0,1
287,87403B,20482G,1990-02-23,1,0,0,0,1,0,1,0,0,0,0
288,928470,862683,1990-02-26,0,0,0,0,0,0,1,0,1,0,0
289,459200,428236,1990-02-26,0,0,0,0,1,1,1,0,0,0,0
289,904034,428236,1990-02-26,0,0,0,0,1,1,1,0,0,0,0
289,904034,459200,1990-02-26,0,0,0,0,1,1,1,0,0,0,0
290,847246,052769,1990-02-26,0,0,0,0,0,0,1,0,0,0,0
291,23308A,052769,1990-02-26,0,0,0,0,0,0,1,0,0,0,0
292,594918,55609Q,1990-02-27,0,0,0,0,0,0,1,0,0,0,0
293,71832M,14052M,1990-02-27,0,0,0,0,0,0,0,0,0,0,1
294,751907,62917T,1990-02-27,1,0,1,0,1,1,1,0,1,1,0
295,879496,57055T,1990-02-28,0,0,0,0,0,0,1,0,0,0,0
296,71533R,037833,1990-02-28,0,0,0,0,0,0,1,0,0,0,0
297,628862,428236,1990-02-28,0,0,0,0,0,0,1,0,0,0,0
298,292659,138006,1990-07-02,1,1,1,0,1,0,0,0,1,0,1
299,37144T,00195V,1990-03-01,0,0,0,0,0,0,1,0,0,0,0
300,39800P,00790H,1990-03-01,0,0,0,0,0,0,1,0,0,0,0
301,87824M,434602,1990-03-02,0,0,0,0,1,0,1,0,0,0,0
302,871607,587200,1990-03-05,0,0,0,0,0,0,1,0,0,0,0
303,96801E,863155,1990-03-05,0,0,0,0,0,0,1,0,0,0,0
304,86980E,699173,1990-03-05,0,0,0,0,0,0,1,0,0,0,0
305,211177,200300,1990-03-05,0,0,0,0,0,0,0,0,0,0,1
305,879240,200300,1990-03-05,0,0,0,0,0,0,0,0,0,0,1
305,879240,211177,1990-03-05,0,0,0,0,0,0,0,0,0,0,1
305,887315,200300,1990-03-05,0,0,0,0,0,0,0,0,0,0,1
305,887315,211177,1990-03-05,0,0,0,0,0,0,0,0,0,0,1
305,887315,879240,1990-03-05,0,0,0,0,0,0,0,0,0,0,1
306,67658Q,55982A,1990-03-05,0,0,0,0,1,0,0,0,0,0,1
307,933696,12945R,1990-03-05,0,0,1,0,0,0,1,0,0,0,0
308,884402,285659,1990-03-05,0,0,0,0,1,0,1,0,0,0,0
309,862111,449269,1990-03-05,0,0,0,0,0,0,1,0,1,0,0
310,765658,44921L,1990-03-06,0,0,0,0,0,0,0,0,0,0,1
311,871130,237688,1990-03-06,0,0,0,0,0,0,1,0,0,0,0
312,67606T,253849,1990-03-06,0,0,0,0,0,0,1,0,0,0,0
313,253849,03349V,1990-03-08,0,0,0,0,1,0,1,0,0,0,0
314,92671K,681627,1990-03-12,0,0,1,0,0,0,0,0,0,0,1
315,629050,03017G,1990-03-12,0,0,1,0,0,0,1,0,0,0,0
316,68066H,030177,1990-03-12,0,0,1,0,0,0,1,0,0,0,0
317,46569T,052769,1990-03-13,0,0,1,0,0,0,1,0,0,0,0
318,918276,26820V,1990-03-13,0,0,0,0,1,0,1,0,0,0,0
319,829909,032654,1990-03-15,0,0,1,0,0,0,1,0,0,0,0
320,85526N,253849,1990-03-15,0,0,0,0,1,0,1,0,0,0,0
321,694032,15738R,1990-03-16,0,0,0,0,1,0,1,0,0,0,0
322,826197,803054,1990-03-19,0,0,0,0,0,0,1,0,0,0,0
